Category: All categories

Week,NASDAQ:AAPL: (United States)
2018-01-07,19
2018-01-14,20
2018-01-21,22
2018-01-28,40
2018-02-04,34
2018-02-11,27
2018-02-18,18
2018-02-25,23
2018-03-04,19
2018-03-11,19
2018-03-18,20
2018-03-25,20
2018-04-01,19
2018-04-08,18
2018-04-15,21
2018-04-22,24
2018-04-29,45
2018-05-06,30
2018-05-13,20
2018-05-20,19
2018-05-27,15
2018-06-03,24
2018-06-10,19
2018-06-17,17
2018-06-24,16
2018-07-01,12
2018-07-08,16
2018-07-15,15
2018-07-22,21
2018-07-29,65
2018-08-05,25
2018-08-12,25
2018-08-19,22
2018-08-26,27
2018-09-02,21
2018-09-09,31
2018-09-16,23
2018-09-23,22
2018-09-30,23
2018-10-07,25
2018-10-14,22
2018-10-21,24
2018-10-28,46
2018-11-04,27
2018-11-11,32
2018-11-18,28
2018-11-25,29
2018-12-02,28
2018-12-09,27
2018-12-16,25
2018-12-23,25
2018-12-30,54
2019-01-06,31
2019-01-13,22
2019-01-20,18
2019-01-27,41
2019-02-03,25
2019-02-10,19
2019-02-17,15
2019-02-24,16
2019-03-03,15
2019-03-10,21
2019-03-17,24
2019-03-24,27
2019-03-31,21
2019-04-07,23
2019-04-14,18
2019-04-21,22
2019-04-28,35
2019-05-05,23
2019-05-12,25
2019-05-19,20
2019-05-26,15
2019-06-02,21
2019-06-09,17
2019-06-16,18
2019-06-23,17
2019-06-30,15
2019-07-07,18
2019-07-14,15
2019-07-21,17
2019-07-28,33
2019-08-04,21
2019-08-11,22
2019-08-18,20
2019-08-25,16
2019-09-01,12
2019-09-08,22
2019-09-15,17
2019-09-22,14
2019-09-29,18
2019-10-06,19
2019-10-13,17
2019-10-20,20
2019-10-27,28
2019-11-03,21
2019-11-10,19
2019-11-17,19
2019-11-24,13
2019-12-01,16
2019-12-08,18
2019-12-15,20
2019-12-22,17
2019-12-29,22
2020-01-05,26
2020-01-12,27
2020-01-19,20
2020-01-26,39
2020-02-02,26
2020-02-09,23
2020-02-16,26
2020-02-23,41
2020-03-01,39
2020-03-08,52
2020-03-15,46
2020-03-22,37
2020-03-29,24
2020-04-05,21
2020-04-12,25
2020-04-19,22
2020-04-26,30
2020-05-03,22
2020-05-10,23
2020-05-17,21
2020-05-24,17
2020-05-31,19
2020-06-07,27
2020-06-14,24
2020-06-21,32
2020-06-28,21
2020-07-05,27
2020-07-12,28
2020-07-19,29
2020-07-26,51
2020-08-02,50
2020-08-09,41
2020-08-16,50
2020-08-23,63
2020-08-30,100
2020-09-06,62
2020-09-13,61
2020-09-20,56
2020-09-27,44
2020-10-04,38
2020-10-11,58
2020-10-18,37
2020-10-25,51
2020-11-01,33
2020-11-08,37
2020-11-15,32
2020-11-22,27
2020-11-29,33
2020-12-06,29
2020-12-13,34
2020-12-20,35
2020-12-27,30
2021-01-03,36
2021-01-10,34
2021-01-17,29
2021-01-24,70
2021-01-31,43
2021-02-07,32
2021-02-14,29
2021-02-21,39
2021-02-28,38
2021-03-07,39
2021-03-14,34
2021-03-21,31
2021-03-28,26
2021-04-04,32
2021-04-11,30
2021-04-18,29
2021-04-25,41
2021-05-02,29
2021-05-09,28
2021-05-16,26
2021-05-23,22
2021-05-30,19
2021-06-06,22
2021-06-13,24
2021-06-20,24
2021-06-27,24
2021-07-04,28
2021-07-11,31
2021-07-18,28
2021-07-25,34
2021-08-01,24
2021-08-08,23
2021-08-15,26
2021-08-22,22
2021-08-29,26
2021-09-05,23
2021-09-12,26
2021-09-19,24
2021-09-26,21
2021-10-03,21
2021-10-10,19
2021-10-17,22
2021-10-24,33
2021-10-31,23
2021-11-07,20
2021-11-14,25
2021-11-21,21
2021-11-28,28
2021-12-05,33
2021-12-12,31
2021-12-19,23
2021-12-26,24
2022-01-02,28
2022-01-09,22
2022-01-16,21
2022-01-23,42
2022-01-30,26
2022-02-06,23
2022-02-13,21
2022-02-20,22
2022-02-27,20
2022-03-06,22
2022-03-13,21
2022-03-20,20
2022-03-27,21
2022-04-03,18
2022-04-10,15
2022-04-17,18
2022-04-24,34
2022-05-01,22
2022-05-08,26
2022-05-15,25
2022-05-22,24
2022-05-29,18
2022-06-05,20
2022-06-12,24
2022-06-19,17
2022-06-26,17
2022-07-03,14
2022-07-10,17
2022-07-17,20
2022-07-24,30
2022-07-31,21
2022-08-07,20
2022-08-14,21
2022-08-21,19
2022-08-28,17
2022-09-04,17
2022-09-11,20
2022-09-18,18
2022-09-25,21
2022-10-02,18
2022-10-09,16
2022-10-16,18
2022-10-23,32
2022-10-30,20
2022-11-06,20
2022-11-13,17
2022-11-20,12
2022-11-27,17
2022-12-04,15
2022-12-11,16
2022-12-18,16
2022-12-25,16
2023-01-01,2
